r1	r2	r3	r4	r5	d
4	4	3	3	3	abstraktnost
3	2	2	2	3	abstraktnost
4	4	2	1	2	abstraktnost
4	4	4	1	4	abstraktnost
5	3	3	1	3	abstraktnost
4	2	2	1	3	abstraktnost
4	1	3	1	2	abstraktnost
3	1	3	1	3	abstraktnost
5	1	3	1	1	abstraktnost
4	1	2	1	2	abstraktnost
3	1	2	2	1	abstraktnost
3	2	2	1	2	abstraktnost
3	2	3	1	2	abstraktnost
5	5	4	1	1	abstraktnost
3	1	1	1	3	abstraktnost
4	3	5	1	3	abstraktnost
5	2	3	1	2	abstraktnost
5	1	4	2	3	abstraktnost
5	4	4	4	4	abstraktnost
4	5	4	1	4	abstraktnost
4	4	3	1	2	abstraktnost
3	5	4	1	4	abstraktnost
4	3	3	1	3	abstraktnost
4	1	2	1	2	abstraktnost
2	4	5	1	3	abstraktnost
3	2	2	1	2	abstraktnost
5	4	2	1	3	abstraktnost
5	4	3	2	4	abstraktnost
2	2	3	1	4	abstraktnost
5	2	2	2	2	abstraktnost
5	4	4	2	4	abstraktnost
5	2	1	1	2	abstraktnost
5	5	2	1	3	abstraktnost
4	2	3	1	3	abstraktnost
2	2	3	1	4	abstraktnost
4	5	4	1	4	abstraktnost
5	2	3	1	2	abstraktnost
3	2	4	1	3	abstraktnost
5	5	5	1	5	abstraktnost
3	2	2	2	3	abstraktnost
3	2	3	1	2	abstraktnost
2	2	3	1	2	abstraktnost
4	3	3	1	2	abstraktnost
2	2	2	1	2	abstraktnost
3	5	5	3	4	abstraktnost
3	4	5	1	3	abstraktnost
3	4	3	3	5	koher
3	3	4	5	4	koher
3	3	4	3	2	koher
2	4	2	3	4	koher
5	5	4	4	4	koher
5	2	2	3	2	koher
4	5	3	4	3	koher
3	3	4	4	4	koher
5	4	5	3	4	koher
2	2	2	4	4	koher
2	2	3	4	3	koher
4	3	3	3	4	koher
2	1	2	2	2	koher
3	1	1	3	2	koher
4	4	3	5	3	koher
4	4	3	4	4	koher
2	4	3	3	4	koher
4	4	2	3	3	koher
5	2	2	2	3	koher
3	3	1	3	3	koher
5	5	2	3	4	koher
5	5	3	4	4	koher
4	4	3	4	5	koher
5	4	2	4	3	koher
5	5	3	4	3	koher
3	5	3	3	3	koher
2	4	2	3	3	koher
3	4	3	4	2	koher
4	4	2	2	4	koher
5	4	3	4	4	koher
5	3	3	3	3	koher
3	1	3	4	2	koher
3	4	3	5	4	koher
2	4	2	2	4	koher
3	4	3	4	5	koher
5	3	2	3	4	koher
4	1	2	4	4	koher
5	4	4	3	4	koher
3	1	2	2	1	koher
3	1	1	3	1	koher
5	3	3	4	4	koher
4	3	2	3	3	koher
4	2	2	4	3	koher
4	2	2	4	3	koher
2	2	2	3	2	koher
5	5	4	3	4	koher
5	2	2	3	2	koher
5	4	3	4	3	koher
4	3	2	4	3	koher
2	4	3	4	2	koher
5	5	5	4	4	koher
4	3	3	4	4	koher
3	1	2	3	2	koher
3	5	3	4	4	koher
2	4	2	4	3	koher
5	5	2	4	3	koher
5	5	4	5	5	koher
4	4	3	5	4	koher
4	5	3	5	5	koher
3	2	2	2	2	koher
5	3	3	5	3	koher
5	5	3	5	3	koher
5	3	2	4	2	koher
3	2	2	2	2	koher
3	3	2	3	3	koher
2	1	2	3	3	koher
3	3	2	3	3	koher
2	3	2	3	4	koher
5	4	3	5	4	koher
5	5	3	4	5	koher
4	4	3	4	4	koher
2	1	2	3	2	koher
5	4	4	4	3	koher
4	1	2	4	3	koher
5	3	3	4	3	koher
2	2	3	3	4	koher
5	4	4	5	5	koher
5	4	4	5	5	koher
4	5	4	5	5	koher
2	3	2	3	3	koher
4	4	4	4	4	koher
5	2	4	5	5	koher
5	3	4	5	2	koher
4	4	4	5	4	koher
5	2	4	4	4	koher
2	3	2	4	4	koher
5	2	2	4	4	koher
5	4	4	5	5	koher
4	5	4	5	4	koher
4	3	3	5	3	koher
3	1	2	4	2	koher
3	3	3	4	4	koher
3	5	3	4	3	koher
4	3	4	5	5	koher
5	4	4	5	5	koher
5	4	3	5	5	koher
5	4	4	4	5	koher
4	4	3	4	4	koher
3	2	2	4	4	koher
5	5	4	5	5	koher
3	3	2	5	3	koher
3	2	2	5	3	koher
4	1	3	4	2	koher
4	5	4	5	4	koher
5	2	4	5	3	koher
3	2	4	5	3	koher
2	5	2	2	3	koher
3	4	3	5	4	koher
4	4	5	5	5	koher
4	3	3	4	4	koher
5	4	4	5	3	koher
3	3	2	3	2	koher
3	4	4	5	3	koher
5	2	3	4	2	koher
5	4	5	5	3	koher
5	4	4	5	3	koher
4	3	2	4	4	koher
5	4	2	4	3	koher
2	1	2	4	2	koher
5	4	5	5	5	koher
5	5	4	4	4	koher
4	2	2	2	1	koher
4	3	4	4	4	koher
5	4	4	4	5	koher
4	3	3	4	4	koher
3	4	3	5	4	koher
4	5	3	5	5	koher
3	3	2	2	2	koher
5	2	3	3	3	koher
2	4	3	4	5	kohez
2	2	4	5	4	kohez
1	1	4	2	3	kohez
3	3	3	3	4	kohez
4	5	4	4	3	kohez
2	1	2	3	2	kohez
3	4	3	4	4	kohez
4	3	4	3	4	kohez
4	3	5	4	4	kohez
4	4	4	4	5	kohez
3	1	3	3	2	kohez
2	2	4	4	3	kohez
4	3	3	3	2	kohez
3	1	2	2	3	kohez
2	3	4	5	4	kohez
5	4	3	4	4	kohez
3	4	4	4	4	kohez
3	2	3	4	4	kohez
4	1	3	3	3	kohez
5	2	4	4	3	kohez
5	4	4	4	3	kohez
4	4	4	4	5	kohez
3	4	4	3	4	kohez
5	4	4	4	3	kohez
5	4	4	4	3	kohez
4	3	3	4	3	kohez
3	2	2	4	3	kohez
3	3	4	3	3	kohez
2	3	3	3	4	kohez
4	2	3	4	4	kohez
3	1	4	4	3	kohez
3	2	4	3	3	kohez
3	3	4	5	5	kohez
3	3	2	2	4	kohez
4	4	4	5	4	kohez
4	3	4	4	4	kohez
4	2	3	4	4	kohez
5	4	4	4	5	kohez
4	2	3	3	1	kohez
2	1	1	3	1	kohez
4	5	3	4	4	kohez
2	2	3	4	3	kohez
3	3	3	3	3	kohez
5	4	2	3	4	kohez
3	1	1	2	2	kohez
5	4	4	3	4	kohez
5	2	2	4	3	kohez
5	3	4	5	4	kohez
5	4	4	5	4	kohez
3	2	3	4	3	kohez
5	5	5	4	5	kohez
4	3	3	4	4	kohez
2	2	2	3	3	kohez
4	5	3	3	5	kohez
1	3	3	4	3	kohez
4	4	3	4	3	kohez
5	5	4	4	5	kohez
4	3	4	5	4	kohez
5	5	4	5	5	kohez
2	3	3	4	4	kohez
4	3	4	5	4	kohez
4	5	4	5	4	kohez
4	3	3	4	2	kohez
4	3	2	3	3	kohez
3	3	3	4	4	kohez
2	2	2	4	4	kohez
3	3	3	4	3	kohez
2	1	2	4	4	kohez
5	3	3	5	4	kohez
5	4	4	4	5	kohez
2	5	4	5	4	kohez
2	1	1	4	3	kohez
5	4	4	5	4	kohez
2	2	3	4	3	kohez
4	4	3	4	4	kohez
1	1	2	4	4	kohez
5	5	4	5	5	kohez
4	3	5	5	5	kohez
5	5	4	5	5	kohez
3	2	3	5	3	kohez
4	4	4	5	4	kohez
5	3	3	5	5	kohez
4	3	4	5	3	kohez
3	4	4	5	4	kohez
5	2	4	5	4	kohez
1	2	2	4	4	kohez
4	2	3	4	4	kohez
5	3	4	4	5	kohez
3	4	4	5	4	kohez
4	2	3	4	3	kohez
4	1	3	5	2	kohez
2	2	3	4	4	kohez
4	4	2	5	3	kohez
4	3	4	5	5	kohez
4	5	4	5	5	kohez
5	4	3	4	5	kohez
4	4	4	4	5	kohez
3	3	3	4	4	kohez
4	3	2	4	4	kohez
4	4	4	5	5	kohez
3	2	4	5	3	kohez
4	2	3	5	4	kohez
3	1	3	4	3	kohez
5	3	4	5	4	kohez
3	2	4	5	4	kohez
4	2	4	5	4	kohez
4	3	2	3	3	kohez
2	5	3	4	5	kohez
4	5	5	5	5	kohez
4	2	4	3	4	kohez
5	5	4	5	4	kohez
2	3	2	4	2	kohez
3	3	4	5	4	kohez
4	4	4	5	3	kohez
5	4	4	5	4	kohez
5	4	4	5	4	kohez
4	3	3	4	4	kohez
4	4	3	4	3	kohez
3	2	3	4	3	kohez
5	3	5	5	5	kohez
4	5	4	4	4	kohez
2	2	2	2	1	kohez
4	1	4	4	4	kohez
3	3	4	4	5	kohez
3	4	3	5	4	kohez
3	3	3	5	4	kohez
3	4	4	4	5	kohez
4	2	3	3	3	kohez
5	3	4	4	3	kohez
3	4	4	3	4	urcit
4	3	4	2	4	urcit
2	1	2	1	2	urcit
1	1	2	2	4	urcit
4	4	4	3	3	urcit
3	3	2	4	3	urcit
5	3	4	2	3	urcit
2	1	4	3	4	urcit
5	5	4	3	3	urcit
2	4	2	5	4	urcit
1	2	4	4	3	urcit
3	4	4	3	3	urcit
2	1	2	3	2	urcit
5	2	1	2	2	urcit
2	2	3	2	2	urcit
5	3	3	2	3	urcit
2	4	4	5	5	urcit
4	2	3	3	2	urcit
5	1	2	2	2	urcit
3	3	2	5	4	urcit
5	4	3	3	4	urcit
4	5	3	3	4	urcit
3	4	3	2	4	urcit
5	4	3	4	3	urcit
4	1	2	1	3	urcit
3	5	4	5	5	urcit
2	1	3	3	2	urcit
3	4	4	3	3	urcit
3	3	2	2	2	urcit
4	5	2	4	3	urcit
3	1	2	1	2	urcit
2	3	4	2	3	urcit
3	5	4	5	4	urcit
3	4	2	4	4	urcit
2	5	3	3	4	urcit
4	3	4	4	5	urcit
5	4	4	5	4	urcit
4	4	5	3	4	urcit
3	3	2	3	2	urcit
2	3	2	2	1	urcit
4	1	4	2	2	urcit
3	3	4	2	2	urcit
4	4	3	3	3	urcit
4	3	4	4	3	urcit
2	3	2	2	2	urcit
4	2	4	3	3	urcit
5	1	2	2	2	urcit
5	4	3	2	3	urcit
5	3	4	2	3	urcit
5	5	4	4	2	urcit
4	4	4	3	4	urcit
4	2	4	2	4	urcit
2	2	4	2	3	urcit
2	2	3	2	3	urcit
2	1	1	2	2	urcit
4	3	3	3	3	urcit
4	4	4	1	4	urcit
4	4	4	3	4	urcit
3	4	4	2	4	urcit
2	4	2	2	3	urcit
3	3	3	3	4	urcit
5	5	2	1	3	urcit
4	2	2	2	2	urcit
3	2	2	1	2	urcit
2	2	2	1	2	urcit
3	4	3	1	3	urcit
4	5	5	4	4	urcit
3	5	3	2	3	urcit
4	3	4	2	3	urcit
5	4	3	2	4	urcit
4	5	2	1	3	urcit
2	2	4	2	2	urcit
4	2	2	1	3	urcit
4	4	3	3	4	urcit
4	5	3	1	3	urcit
2	3	4	2	4	urcit
5	4	3	2	4	urcit
4	4	3	1	3	urcit
3	4	4	1	3	urcit
2	2	3	2	3	urcit
3	2	3	1	3	urcit
4	4	4	2	3	urcit
3	1	3	1	2	urcit
4	2	3	1	3	urcit
5	3	4	2	4	urcit
1	2	3	1	4	urcit
4	2	3	2	2	urcit
4	2	2	2	3	urcit
3	4	3	2	3	urcit
4	5	4	5	4	urcit
3	4	2	1	2	urcit
2	4	4	3	4	urcit
2	5	4	4	3	urcit
4	4	4	4	5	urcit
3	4	4	3	3	urcit
4	5	4	3	4	urcit
4	2	2	1	4	urcit
3	5	5	2	3	urcit
3	3	1	3	4	urcit
4	4	3	1	4	urcit
2	4	3	2	3	urcit
3	1	2	1	2	urcit
3	1	2	1	2	urcit
4	2	3	2	4	urcit
3	1	2	1	3	urcit
4	3	3	2	3	urcit
2	4	3	3	4	urcit
2	3	2	2	3	urcit
4	4	4	3	4	urcit
4	2	3	2	3	urcit
4	3	4	2	3	urcit
3	3	2	2	2	urcit
2	4	4	4	4	urcit
4	3	3	3	2	urcit
4	5	4	2	3	urcit
4	3	3	3	3	urcit
4	4	3	2	3	urcit
4	4	4	2	3	urcit
2	1	2	2	2	urcit
5	3	4	2	4	urcit
4	4	3	2	4	urcit
2	2	2	1	2	urcit
4	3	4	2	3	urcit
4	4	3	2	4	urcit
5	3	2	2	3	urcit
2	4	2	5	3	urcit
3	4	5	5	4	urcit
2	2	2	1	3	urcit
4	1	2	2	2	urcit
4	4	2	2	4	zabav
4	3	3	4	4	zabav
4	2	1	2	2	zabav
2	2	1	2	4	zabav
4	3	2	3	3	zabav
5	2	2	2	2	zabav
3	3	3	2	3	zabav
2	2	3	2	3	zabav
4	5	4	4	4	zabav
2	3	3	5	4	zabav
2	2	2	3	2	zabav
3	4	3	2	3	zabav
2	1	2	2	2	zabav
4	1	1	1	2	zabav
2	1	1	4	3	zabav
5	4	2	3	3	zabav
2	2	3	3	4	zabav
5	5	3	4	4	zabav
5	1	3	3	3	zabav
2	2	1	4	2	zabav
5	4	3	2	2	zabav
3	2	2	2	4	zabav
2	3	4	1	3	zabav
3	2	4	3	2	zabav
4	5	3	4	3	zabav
1	3	1	1	2	zabav
1	2	2	1	2	zabav
2	5	3	2	2	zabav
3	4	3	1	4	zabav
4	3	3	4	4	zabav
5	2	3	3	2	zabav
1	1	3	2	2	zabav
2	2	2	4	4	zabav
2	4	3	1	3	zabav
1	3	4	2	3	zabav
3	2	3	2	3	zabav
4	3	4	4	4	zabav
2	1	2	1	2	zabav
1	2	3	2	2	zabav
3	4	3	3	2	zabav
2	2	3	3	3	zabav
2	3	4	1	2	zabav
4	3	3	4	4	zabav
4	3	4	2	4	zabav
1	3	1	1	3	zabav
4	4	4	2	5	zabav
4	2	2	3	3	zabav
4	3	2	3	3	zabav
4	5	4	4	4	zabav
2	2	1	1	2	zabav
5	1	4	2	4	zabav
3	3	4	3	4	zabav
1	1	1	1	2	zabav
2	3	2	2	3	zabav
1	2	2	4	2	zabav
3	4	2	2	1	zabav
3	3	5	3	4	zabav
2	4	3	3	4	zabav
2	5	2	1	4	zabav
1	3	3	3	2	zabav
3	4	4	3	2	zabav
3	2	2	3	2	zabav
3	2	3	4	1	zabav
2	2	2	1	1	zabav
1	3	1	2	2	zabav
1	3	2	2	4	zabav
1	3	2	4	3	zabav
1	3	3	4	5	zabav
4	4	3	4	5	zabav
5	4	3	4	5	zabav
4	3	3	4	3	zabav
1	2	2	2	3	zabav
4	2	4	5	3	zabav
3	2	2	4	3	zabav
3	3	3	3	3	zabav
1	2	3	1	5	zabav
4	4	3	3	4	zabav
3	3	2	4	4	zabav
3	4	4	4	5	zabav
1	2	2	1	2	zabav
2	3	2	2	3	zabav
4	4	4	5	5	zabav
4	1	3	5	2	zabav
3	3	2	5	3	zabav
4	4	3	2	3	zabav
1	3	2	3	5	zabav
4	3	2	2	2	zabav
3	3	3	5	5	zabav
2	3	3	2	3	zabav
4	4	2	3	2	zabav
2	2	2	3	2	zabav
1	3	2	1	5	zabav
1	3	2	2	2	zabav
4	3	3	4	4	zabav
3	5	3	3	5	zabav
4	5	3	2	5	zabav
4	3	3	2	5	zabav
2	2	4	2	3	zabav
2	2	2	2	4	zabav
3	3	4	2	5	zabav
1	3	2	1	3	zabav
2	2	2	5	2	zabav
2	2	3	3	2	zabav
3	3	4	2	3	zabav
4	4	4	4	3	zabav
4	3	4	3	2	zabav
2	3	2	2	3	zabav
2	3	3	3	5	zabav
4	4	3	3	5	zabav
3	4	2	3	4	zabav
4	4	4	3	4	zabav
2	2	1	2	1	zabav
1	5	2	3	4	zabav
3	4	2	2	2	zabav
4	4	2	4	2	zabav
4	4	3	3	2	zabav
4	4	2	2	4	zabav
4	3	2	2	1	zabav
1	1	3	3	2	zabav
4	3	3	2	5	zabav
4	3	4	3	3	zabav
3	2	2	2	2	zabav
2	2	4	3	3	zabav
4	3	3	3	5	zabav
4	4	4	3	5	zabav
1	4	3	3	3	zabav
2	3	4	4	5	zabav
2	2	3	1	2	zabav
3	4	3	3	4	zabav
